SUBJECT_EN,TERM_EN,TERM_EN_PARAMETER,ABBREVIATION_EN,ABBREVIATION_EN_PARAMETER,SYNONYMS_EN,SYNONYMS_EN_PARAMETERS,TEXTUAL_SUPPORT_1_EN,TEXTUAL_SUPPORT_2_EN,TEXTUAL_SUPPORT_3_EN,DOMAINE_FR,TERME_FR,TERME_FR_PARAMETRE,ABBREVIATION_FR,ABBREVIATION_FR_PARAMETRE,SYNONYMES_FR,SYNONYMES_FR_PARAMETRE,JUSTIFICATION_1_FR,JUSTIFICATION_2_FR,JUSTIFICATION_3_FR,UNIVERSAL_ENTRIES,DOM_SUBJ_ES,TERME_TERM_ES,TERME_TERM_PARAM_ES,ABBR_ES,ABBR_PARAM_ES,SYNO_ES,SYNO_PARAM_ES,JUST_TEXTSUPP_1_ES,JUST_TEXTSUPP_2_ES,JUST_TEXTSUPP_3_ES,DOM_SUBJ_PT,TERME_TERM_PT,TERME_TERM_PARAM_PT,ABBR_PT,ABBR_PARAM_PT,SYNO_PT,SYNO_PARAM_PT,JUST_TEXTSUPP_1_PT,JUST_TEXTSUPP_2_PT,JUST_TEXTSUPP_3_PT
Boxing,"Boxing Manitoba",correct,,,"Manitoba Amateur Boxing Association Inc.;Manitoba Amateur Boxing Association","former designation,correct;former designation,correct","OBS: [The association's] mandate is to provide opportunities to participants at all levels, from the recreational to the elite, creating a venue that ensures the utmost safety of [the] athletes.",,,Boxe,"Boxing Manitoba",correct,,,"Manitoba Amateur Boxing Association Inc.;Manitoba Amateur Boxing Association","former designation,correct;former designation,correct",,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"Canadian Professional Boxing Council",correct,C.P.B.C.,correct,,,"OBS: [C.P.B.C. is] the longest reigning sanctioning body for professional boxing in Canada …",,,Boxe,"Canadian Professional Boxing Council",correct,C.P.B.C.,correct,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"assistant second",,,,,,,,,Boxe,assistant-soigneur,,,,,,"OBS: Langen, boxe, 127cp/11.74.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,"deliver a series of blows",verb,,,,,,,,Boxe,"exécuter une série de coups",,,,,,"OBS: Langen,boxe,127cp/11/74.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,snorter,,,,,,,,,Boxe,"coup sur le nez","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"stop a blow",verb,,,,,,,,Boxe,"bloquer un coup",,,,"parer un coup",,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"break a clinch","correct,verb",,,,,,,,Boxe,"mettre fin à un corps-à-corps",correct,,,"briser un corps-à-corps",,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"award points","correct,verb",,,,,"OBS: Rules/refereeing.",,,Boxe,"attribuer des points",correct,,,,,"OBS: Règlement/arbitrage.",,,,Boxeo,"otorgar puntos",correct,,,,,,,,,,,,,,,,,
Boxing,"amateur boxing",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"boxe amateur","correct,feminine noun",,,,,"OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,"kidney blow",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"coup au rein","correct,masculine noun",,,,,"OBS: Règlement/arbitrage.",,,,Boxeo,"golpe al riñon","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"be staggered",correct,,,,,,,,Boxe,"être sonné",,,,,,,,,,Boxeo,tambalearse,correct,,,,,,,,,,,,,,,,,
Boxing,infighting,"correct,noun",,,in-fighting,,"DEF: [Fencing,] fighting or boxing close to one's opponent, not at arm's length.",,,Boxe,corps-à-corps,"correct,masculine noun",,,"corps à corps;combat rapproché","correct,masculine noun;correct,masculine noun","DEF: En escrime, en boxe, situation où les adversaires se trouvent très près l'un de l'autre.","OBS: Escrime. Au 16e siècle, la dague au poing gauche était l'arme du combat de près. Aujourd'hui le corps à corps, toléré par les arbitres au fleuret, reste autorisé à l'épée s'il est exécuté sans brutalité ni violence.","OBS: Ne pas confondre avec l'«accrochage» dans lequel un combattant retient l'autre illégalement. Dans le «corps-à-corps», les deux boxeurs se donnent des coups l'un l'autre tout en étant poitrine contre poitrine; les deux escrimeurs combattent à une distance de bras l'un de l'autre.",,Boxeo,"cuerpo a cuerpo","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"double arm block",correct,,,,,"CONT: The mechanics of the double arm block are ... simple: from the boxing stance, on sight of an incoming shot, bring the arms together, turning the palms inwards towards your face and raising the fists to only about the level of the eyebrows. When the shot has been blocked, return the hands to the guard position.",,,Boxe,"garde haute rentrée","correct,feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"chopping block",,,,,,,,,Boxe,"boxeur qui encaisse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"tnt right",,,,,,,,,Boxe,"droite foudroyante",,,,"droite meurtrière;droite mortelle",,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"recruit boxing",,,,,,,,,Boxe,"boxe pour les recrues","feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,kickboxer,"correct,see observation",,,"kick-boxer;kick boxer;Thai kickboxer","correct,see observation;correct,see observation;correct,see observation,specific","DEF: Someone who engages in kick boxing.","CONT: From karate, Mr. Rothman and his friends have graduated to the more dangerous kickboxing, an Americanized karate. Wearing boxing gloves and sneakers, the kickboxers fight full force and Mr. Rothman admits """"you can get hurt"""". He described it as the """"ultimate"""" in fighting and self-defense. (The Observer (Eastchester, N.Y.), July 20, 1972, p. 4).","OBS: The name """"kickboxer"""" is given to the boxer who engages in Oriental kickboxing (bare feet) - """"Thai kickboxer"""" - as well as to the one who engages in the American form of kickboxing (wearing sneakers). The single-word spelling will, in the end, be the only one used.",Boxe,kickboxeur,"correct,see observation,masculine noun",,,"kick-boxeur;adepte de la boxe orientale","correct,see observation,masculine noun;proposal,correct,see observation,masculine noun,specific","DEF: Personne qui pratique le kickboxing.","OBS: kickboxing : Sport de combat qui oppose deux adversaires se portant des coups avec les poings gantés et les pieds chaussés ou non; le sport pratiqué pieds nus est appelé «boxe orientale» et celui, pieds chaussés, «kickboxing» au Canada, «karaté plein-contact» aux États-Unis et «boxe française-savate» en France.","OBS: kickboxeur : D'après «kickboxing». Le journal Le Droit a écrit «kick-boxing» jusqu'en 1986, année où apparaît la graphie «kickboxing» pour la première fois dans ses pages. On peut supposer que la graphie en un seul mot l'emportera.",,,,,,,,,,,,,,,,,,,,,
Boxing,"Saskatoon Boxing and Wrestling Commission",correct,,,,,"OBS: Organization which is established in Saskatoon, Saskatchewan.",,,Boxe,"Saskatoon Boxing and Wrestling Commission","correct,feminine noun",,,,,"OBS: Organisme établi à Saskatoon (Saskatchewan).",,,,,,,,,,,,,,,,,,,,,,,
Boxing,second,"correct,noun",,,,,,,,Boxe,soigneur,"correct,masculine noun",,,soigneuse,"correct,feminine noun","OBS: Terme employé notamment dans le domaine de la boxe.",,,,Boxeo,segundo,"correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"ring steps","correct,plural",,,,,,,,Boxe,"escalier du ring","correct,masculine noun",,,,,,,,,Boxeo,"escalera del ring","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"blue corner",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"coin bleu","correct,masculine noun",,,,,"OBS: Règlement/arbitrage.",,,,Boxeo,"rincón azul",correct,,,,,,,,,,,,,,,,,
Boxing,groggy,correct,,,,,"OBS: Rules/refereeing.",,,Boxe,étourdi,correct,,,sonné;groggy,"correct;correct,anglicism","OBS: Règlement/arbitrage.",,,,Boxeo,aturdido,correct,,,,,,,,,,,,,,,,,
Boxing,aggressive,"correct,adjective",,,,,,,,Boxe,agressif,"correct,adjective",,,,,,,,,Boxeo,agresivo,"correct,adjective",,,,,,,,,,,,,,,,,
Boxing,"defensive boxer",,,,,,,,,Boxe,"boxeur défensif","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,clinch,correct,,,,,,,,Boxe,gagner,,,,,,,,,,Boxeo,ganar,correct,,,,,,,,,,,,,,,,,
Boxing,roped,correct,,,,,,,,Boxe,"délimité par les cordes",,,,,,,,,,Boxeo,"delimitado por sogas",,,,,,,,,,,,,,,,,,
Boxing,"stay wire",correct,,,"stay rope",correct,,,,Boxe,"hauban de ring","correct,masculine noun",,,,,,,,,Boxeo,"tirante de fijación del ring","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"combination of blows",correct,,,"combination;series of blows",correct;correct,,,,Boxe,"enchaînement de coups","correct,masculine noun",,,"combinaison de coups","feminine noun",,,,,Boxeo,"combinación de golpes","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"competition gloves","correct,plural",,,,,,,,Boxe,"gants de compétition","masculine noun,plural",,,,,,,,,Boxeo,"guantes de competencia","correct,masculine noun,plural",,,,,,,,,,,,,,,,,
Boxing,"general weigh-in",correct,,,,,,,,Boxe,"pesée générale","feminine noun",,,,,,,,,Boxeo,"pesaje general","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,lightweight,correct,,,light,correct,"OBS: Boxing: 57-60 kg.","OBS: Wrestling: 68 kg.",,Boxe,"poids léger","correct,masculine noun",,,,,"OBS: Boxe : 57-60 kg.","OBS: Lutte et catch : 68 kg.",,,Boxeo,"peso ligero","correct,masculine noun",,,ligero,"correct,masculine noun",,,,,,,,,,,,,
Boxing,"precision of the blow",correct,,,,,,,,Boxe,"précision du coup","correct,feminine noun",,,,,"CONT: Sans être un connaisseur, il m'a semblé que c'était la précision du coup qui a compté plus que le nombre de coups au corps [...]",,,,Boxeo,"precisión del golpe","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"punching bag",correct,,,"suspended bag;heavy punching bag",correct;correct,"DEF: A large stuffed leather bag that is hung up in a gym to be punched by a boxer with his fists, as a training exercise to develop strength and coordination.","OBS: Boxing heavy bags come in a variety of weights, ranging from 80 to 120 pounds. In most cases, a boxing bag gets its weight from cotton batting, sand and possibly metal weights at the center.",,Boxe,punching-bag,"correct,masculine noun",,,"sac de frappe","correct,masculine noun","OBS: Autrefois appelé «sac de terre» ou «sac de sable» puisqu'il était fait en toile et contenait de la terre ou du sable.",,,,Boxeo,"saco de boxeo","correct,masculine noun",,,"saco de arena ;costal de arena","correct,masculine noun;correct,masculine noun",,,,,,,,,,,,,
Boxing,"Boxing Nova Scotia",correct,,,,,"OBS: Boxing Nova Scotia is a provincial sport organization with the goal of developing and supporting boxing in Nova Scotia.",,,Boxe,"Boxing Nova Scotia",correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"foul blow",,,,,,,,,Boxe,"coup bas","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"turning aside",,,,,,,,,Boxe,"esquive par retrait d'épaule",,,,,,"OBS: Langen, boxe, 127cp/11.74.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,"stop blow",,,,,,,,,Boxe,"coup d'arrêt","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,caution,correct,,,,,,,,Boxe,remontrance,"feminine noun",,,,,,,,,Boxeo,amonestación,"correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"Appointment by the Federal Government of a National Boxing Commissioner",,,,,,,,,Boxe,"Nomination d'un commissaire national à la boxe par le gouvernement fédéral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"count out",verb,,,,,,,,Boxe,"compter out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"ring lamp",,,,,,,,,Boxe,"réflecteur du ring",,,,,,"OBS: Langen,boxe,127cp/11.74.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,"Boxing Newfoundland & Labrador",correct,,,,,"OBS: Boxing Newfoundland & Labrador is the governing body for amateur boxing in Newfoundland and Labrador affiliated with Boxing Canada and the Association International de Boxe Amateur (AIBA).",,,Boxe,"Boxing Newfoundland & Labrador","correct,Newfoundland and Labrador",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"sway away","correct,verb",,,,,"DEF: To move one's upper body away from one's opponent.",,,Boxe,"esquiver d'un pas",correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"knock down","correct,verb",,,,,,,,Boxe,"envoyer au tapis",correct,,,"envoyer au plancher",,,,,,Boxeo,"tirar al suelo",correct,,,,,,,,,,,,,,,,,
Boxing,sponge,correct,,,,,,,,Boxe,éponge,"correct,feminine noun",,,,,,,,,Boxeo,esponja,"correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"Canadian Amateur, Kick-Boxing Association","correct,Quebec",ACKBA,"correct,Quebec",,,"OBS: Québec.",,,Boxe,"Association canadienne de Kick-Boxing amateur","correct,feminine noun,Quebec",ACKBA,"correct,feminine noun,Quebec",,,"OBS: Québec.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,"loss by referee stops contest",correct,,,"loss by referee stopping contest",,,,,Boxe,"défaite par arrêt de l'arbitre","correct,feminine noun",,,,,,,,,Boxeo,"derrota por decisión arbitral","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"left-hand blow",correct,,,"left-hand punch",correct,"DEF: A hit given by a boxer to an opponent using his left fist.","OBS: Also said """"a left.""""",,Boxe,gauche,"correct,feminine noun",,,"coup de la gauche","correct,see observation,masculine noun","DEF: Coup du poing gauche donné à l'adversaire par un boxeur.","OBS: On n'utilise plus «coup du gauche» pour signifier «coup du poing gauche».",,,Boxeo,"golpe de la izquierda","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,turnbuckle,correct,,,,,,,,Boxe,"tendeur de câbles","correct,masculine noun",,,,,,,,,Boxeo,"tensor de las cuerdas","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"shift punch",,,,,,,,,Boxe,"coup dans le creux de l'estomac","masculine noun",,,"coup au plexus solaire","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"glancing blow",,,,,,,,,Boxe,"coup oblique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"training gloves","correct,plural",,,"sparring gloves",plural,,,,Boxe,"gants d'entraînement",plural,,,,,"OBS: Renseignement fourni par le club Jukado à Montréal.",,,,Boxeo,"guantes de entrenamiento","correct,masculine noun,plural",,,,,,,,,,,,,,,,,
Boxing,"sham fight",,,,,,,,,Boxe,"combat chique","masculine noun",,,"combat feint;combat simulé;combat truqué","masculine noun;masculine noun;masculine noun",,,,,,,,,,,,,,,,,,,,,,,,
Boxing,haymaker,,,,,,,,,Boxe,"coup de knock-out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,poke,,,,,,,,,Boxe,"coup à la figure","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"contest weight",,,,,,,,,Boxe,"poids de combat",,,,,,"OBS: Langen,boxe,127cp/11.74.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,clinch,"correct,noun",,,,,"DEF: A tight grasp; close grip.","CONT: the referee broke the boxers' clinch.","CONT: A boxer may resort to a clinch when hurt or tired, and it is up to the referee to separate the fighters to keep the fight from stalling.",Boxe,accrochage,"correct,masculine noun",,,,,"DEF: Faute du [compétiteur] en difficulté qui paralyse les bras de l'adversaire.","OBS: Ne pas confondre avec le «corps-à-corps». Dans l'accrochage, un combattant retient illégalement l'autre. Dans le corps-à-corps, les deux boxeurs se donnent des coups l'un l'autre tout en étant poitrine contre poitrine (ils doivent être séparés si le combat est stérile); les deux escrimeurs combattent à une distance de bras l'un de l'autre (toléré au fleuret, autorisé à l'épée si utilisé sans brutalité ni violence).",,,Boxeo,clinch,correct,,,,,,,,,,,,,,,,,
Boxing,attack,"correct,verb",,,,,"OBS: Also a taekwondo term.",,,Boxe,attaquer,correct,,,,,,,,,Boxeo,atacar,correct,,,,,"OBS: Término de taekwondo también.",,,,,,,,,,,,
Boxing,"AIBA international record book",correct,,,,,"OBS: AIBA = International Amateur Boxing Association",,,Boxe,"livre de registre international de l'AIBA","masculine noun",,,,,"OBS: AIBA = Association internationale de boxe",,,,Boxeo,"libro internacional de registros de la AIBA","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"Continental Bureau",correct,,,,,,,,Boxe,"Comité exécutif continental","masculine noun",,,,,,,,,Boxeo,"Comité Ejecutivo Continental","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"fighting ability",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"capacité à combattre","correct,feminine noun",,,,,"OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,duck,"correct,noun,specific",,,,,,,,Boxe,esquive,"correct,feminine noun,generic",,,,,,,,,Boxeo,esquiva,"correct,feminine noun,generic",,,,,,,,,,,,,,,,,
Boxing,fighter,,,,scrapper;swinger;battler;biffer;banger;rammer;demolisher;walloper;mauler;slugger,,"OBS: Familiar terms.",,,Boxe,batailleur,"masculine noun",,,tapocheur;bagarreur;cogneur;démolisseur;assommeur;tombeur,"masculine noun;masculine noun;masculine noun;masculine noun;masculine noun;masculine noun","OBS: Termes familiers.",,,,Boxeo,pugilista,"correct,masculine and feminine noun",,,fajador,"correct,masculine noun",,,,,,,,,,,,,
Boxing,swing,"correct,noun",,,,,"DEF: A swinging stroke or blow.","OBS: In boxing, the stroke is delivered with one or both arms in a lateral or horizontal arc movement.",,Boxe,swing,"correct,masculine noun",,,,,"DEF: Coup de poing donné en ramenant horizontalement ou obliquement le bras, de l'extérieur à l'intérieur.","OBS: «swing» : D'origine anglaise et encore considéré un anglicisme, le terme est reconnu dans le langage de la boxe.","CONT: «Joe Mitchell, d'un furieux swing du droit, fendit l'arcade sourcilière de son adversaire». (Hémon)",,,,,,,,,,,,,,,,,,,,,
Boxing,"split decision",correct,,,,,"DEF: A decision declaring the winner of a boxing match in which the judges and referee are not unanimous in their opinions.",,,Boxe,"décision majoritaire","correct,feminine noun",,,,,"DEF: À l'issue d'un combat de boxe, décision rendue en faveur du vainqueur par la majorité des juges, mais non par tous.","OBS: Lorsque les juges et l'arbitre ne s'entendent pas de manière unanime sur le vainqueur d'un match de boxe, on se base sur la décision majoritaire des juges pour déclarer le vainqueur. Dans le contraire, c'est un match nul.","OBS: En boxe, un combat se remporte par knockout, arrêt du combat par l'arbitre et par «décision unanime» ou «décision majoritaire» des juges.",,Boxeo,"decisión dividida","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"head butt","correct,noun",,,butt,noun,"DEF: [A technique involving] using the head to strike the opponent.",,,Boxe,"coup de tête","correct,masculine noun",,,,,,,,,Boxeo,cabezazo,"correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"light heavyweight","correct,noun",,,lightheavyweight,"correct,noun","OBS: 75-81 kg.",,,Boxe,"poids mi-lourd","correct,masculine noun",,,,,"OBS: 75-81 kg.",,,,Boxeo,"peso semi pesado","correct,masculine noun",,,"peso ligero pesado;semicompleto;ligero pesado","correct,masculine noun;correct,masculine noun;correct,masculine noun",,,,,,,,,,,,,
Boxing,"slapping blow",correct,,,,,,,,Boxe,"coup du plat de la main","correct,masculine noun",,,,,,,,,Boxeo,"golpe con la mano abierta","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"straight right","correct,noun",,,,,,,,Boxe,"direct du droit","correct,masculine noun",,,,,,,,,Boxeo,"directo de derecho","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"absorb blows",correct,,,,,,,,Boxe,"encaisser les coups",correct,,,encaisser,correct,"CONT: Ceux qui se demandaient si ÉRIC LUCAS est en mesure d'encaisser les coups d'un solide cogneur ont eu la réponse à leur question, puisque Lucas a encaissé plusieurs coups solides aux troisième et quatrième assauts et il a réussi à se «replacer les yeux vis-à-vis des trous» pour reprendre l'initiative du combat et le diriger à sa guise par la suite, même quand son adversaire tentait de lui «arracher la tête» en fin de combat [...]","CONT: Je suis persuadé que je vais être champion du monde. Je suis prêt à encaisser et à rendre coup pour coup.",,,Boxeo,encajar,correct,,,,,,,,,,,,,,,,,
Boxing,"eight-ounce gloves","correct,plural",,,,,,,,Boxe,"gants de huit onces","masculine noun,plural",,,,,,,,,Boxeo,"guantes de ocho onzas","correct,masculine noun,plural",,,,,,,,,,,,,,,,,
Boxing,"backhand blow",correct,,,"back-hand blow",correct,"OBS: Rules/refereeing.",,,Boxe,"coup du revers de la main","correct,masculine noun",,,,,"OBS: Règlement/arbitrage.",,,,Boxeo,"golpe con el revés de la mano","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"unfit for boxing",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"inapte à boxer",correct,,,,,"OBS: Examen médical.","OBS: Règlement/arbitrage.",,,Boxeo,"no apto",correct,,,,,,,,,,,,,,,,,
Boxing,"throw in the sponge",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"jeter l'éponge",correct,,,,,"OBS: Règlement/arbitrage.",,,,Boxeo,"lanzar la esponja",correct,,,,,,,,,,,,,,,,,
Boxing,"precision of the blows",correct,,,,,,,,Boxe,"précision des coups","correct,feminine noun",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"punch pads","correct,plural",,,"catcher's mitts","correct,plural",,,,Boxe,"mitaines d'entraîneur","correct,feminine noun,plural",,,,,,,,,Boxeo,"manoplas de entrenador","correct,feminine noun,plural",,,,,,,,,,,,,,,,,
Boxing,roadwork,correct,,,,,,,,Boxe,course,"feminine noun",,,,,,,,,Boxeo,carrera,"correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"speed-ball platform",correct,,,,,,,,Boxe,"plate-forme réglable pour ballon de vitesse","feminine noun",,,"plate-forme réglable pour ballon rapide;plateforme réglable pour ballon de vitesse;plateforme réglable pour ballon rapide","feminine noun;feminine noun;feminine noun","OBS: Pluriel : des plateformes, des plates-formes.","OBS: plateforme (sing.); plateformes (pl.) : Ces graphies, puisées des Rectifications de l'orthographe recommandées par le Conseil supérieur de la langue française, sont attestées dans le Petit Robert (2004).",,,Boxeo,"plataforma regulable para pelota rápida","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"bandage room",correct,,,,,,,,Boxe,"salle d'inspection des bandages","correct,feminine noun",,,,,,,,,Boxeo,"sala de inspección de vendajes","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"prize fight",,,,,,,,,Boxe,"assaut de boxe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"freeze-up fighter",,,,,,,,,Boxe,"boxeur facile à abattre","masculine noun",,,"boxeur vulnérable","masculine noun",,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"tune-up fight",,,,,,,,,Boxe,"combat d'entraînement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"blow to the point",,,,,,,,,Boxe,"coup sur la pointe de la mâchoire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,"boxing promoter",correct,,,,,,,,Boxe,"promoteur de boxe","correct,masculine noun",,,"promotrice de boxe","correct,feminine noun",,,,,,,,,,,,,,,,,,,,,,,,
